,Código da IES,Nome da IES,Categoria Administrativa,Código da Área,Área de Avaliação,Código do Município,Município do Curso,Nº de Concluintes Inscritos,Nº de Concluintes Participantes,Conceito Enade (Contínuo),CPC (Contínuo),CPC (Faixa),Ano
0,1,UNIVERSIDADE FEDERAL DE MATO GROSSO,PÚBLICA,1,ADMINISTRAÇÃO,510401703403,CUIABA,182.0,98.0,4.059281826019287,3.4277682304382324,4,2009
1,1,UNIVERSIDADE FEDERAL DE MATO GROSSO,PÚBLICA,2,DIREITO,510401703403,CUIABA,82.0,96.0,4.406282424926758,3.6484715938568115,4,2009
2,1,UNIVERSIDADE FEDERAL DE MATO GROSSO,PÚBLICA,8,COMUNICAÇÃO SOCIAL,510401703403,CUIABA,23.0,54.0,3.7496180534362793,3.172264814376831,4,2009
4,1,UNIVERSIDADE FEDERAL DE MATO GROSSO,PÚBLICA,8,COMUNICAÇÃO SOCIAL,510401703403,CUIABA,22.0,56.0,3.5708425045013428,3.2382009029388428,4,2009
5,1,UNIVERSIDADE FEDERAL DE MATO GROSSO,PÚBLICA,8,COMUNICAÇÃO SOCIAL,510401703403,CUIABA,16.0,47.0,0.9543308019638062,1.7216706275939941,2,2009
6,1,UNIVERSIDADE FEDERAL DE MATO GROSSO,PÚBLICA,13,CIÊNCIAS ECONÔMICAS,510401703403,CUIABA,38.0,127.0,1.9653728008270264,2.403230905532837,3,2009
8,1,UNIVERSIDADE FEDERAL DE MATO GROSSO,PÚBLICA,18,PSICOLOGIA,510502107602,RONDONOPOLIS,38.0,32.0,2.609020709991455,2.4990882873535156,3,2009
9,1,UNIVERSIDADE FEDERAL DE MATO GROSSO,PÚBLICA,22,CIÊNCIAS CONTÁBEIS,510401703403,CUIABA,73.0,126.0,3.6353344917297363,3.0982306003570557,4,2009
10,1,UNIVERSIDADE FEDERAL DE MATO GROSSO,PÚBLICA,22,CIÊNCIAS CONTÁBEIS,510502107602,RONDONOPOLIS,77.0,61.0,2.88932466506958,2.654874563217163,3,2009
11,1,UNIVERSIDADE FEDERAL DE MATO GROSSO,PÚBLICA,43,MÚSICA,510401703403,CUIABA,29.0,48.0,1.423339605331421,1.7768762111663818,2,2009
12,1,UNIVERSIDADE FEDERAL DE MATO GROSSO,PÚBLICA,66,BIBLIOTECONOMIA,510502107602,RONDONOPOLIS,34.0,14.0,1.9017486572265625,1.9000462293624878,2,2009
13,2,UNIVERSIDADE DE BRASÍLIA,PÚBLICA,1,ADMINISTRAÇÃO,530100100108,BRASILIA,175.0,136.0,4.799938678741455,4.193694114685059,5,2009
14,2,UNIVERSIDADE DE BRASÍLIA,PÚBLICA,2,DIREITO,530100100108,BRASILIA,96.0,123.0,3.9548771381378174,3.6127774715423584,4,2009
15,2,UNIVERSIDADE DE BRASÍLIA,PÚBLICA,8,COMUNICAÇÃO SOCIAL,530100100108,BRASILIA,47.0,60.0,2.2236409187316895,2.6608147621154785,3,2009
16,2,UNIVERSIDADE DE BRASÍLIA,PÚBLICA,8,COMUNICAÇÃO SOCIAL,530100100108,BRASILIA,25.0,27.0,1.995104432106018,2.824533462524414,3,2009
17,2,UNIVERSIDADE DE BRASÍLIA,PÚBLICA,13,CIÊNCIAS ECONÔMICAS,530100100108,BRASILIA,50.0,67.0,4.931911945343018,4.3389177322387695,5,2009
18,2,UNIVERSIDADE DE BRASÍLIA,PÚBLICA,18,PSICOLOGIA,530100100108,BRASILIA,63.0,73.0,4.319143295288086,3.9163978099823,4,2009
19,2,UNIVERSIDADE DE BRASÍLIA,PÚBLICA,22,CIÊNCIAS CONTÁBEIS,530100100108,BRASILIA,100.0,109.0,4.880216121673584,4.302637577056885,5,2009
20,2,UNIVERSIDADE DE BRASÍLIA,PÚBLICA,26,DESIGN,530100100108,BRASILIA,19.0,62.0,4.987812042236328,4.109743595123291,4,2009
21,2,UNIVERSIDADE DE BRASÍLIA,PÚBLICA,39,TEATRO,530100100108,BRASILIA,111.0,55.0,2.691074848175049,2.7721776962280273,3,2009
22,2,UNIVERSIDADE DE BRASÍLIA,PÚBLICA,43,MÚSICA,530100100108,BRASILIA,81.0,38.0,2.499361038208008,2.9702956676483154,4,2009
23,2,UNIVERSIDADE DE BRASÍLIA,PÚBLICA,65,ARQUIVOLOGIA,530100100108,BRASILIA,51.0,41.0,3.506446123123169,3.8184311389923096,4,2009
24,2,UNIVERSIDADE DE BRASÍLIA,PÚBLICA,66,BIBLIOTECONOMIA,530100100108,BRASILIA,23.0,48.0,3.1103663444519043,3.8710319995880127,4,2009
25,2,UNIVERSIDADE DE BRASÍLIA,PÚBLICA,81,RELAÇÕES INTERNACIONAIS,530100100108,BRASILIA,41.0,72.0,4.786637306213379,3.728997230529785,4,2009
26,2,UNIVERSIDADE DE BRASÍLIA,PÚBLICA,82,ESTATÍSTICA,530100100108,BRASILIA,36.0,29.0,3.501234292984009,3.3894577026367188,4,2009
